ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	track_filters	total_tracks
CL:0001054	CD14-positive monocyte	primary_cell	adult		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H2AFZ|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me2|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|Histone ChIP-seq H3K9me3|Histone ChIP-seq H4K20me1|TF ChIP-seq CTCF|polyA plus RNA-seq	19
CL:0001059	common myeloid progenitor, CD34-positive	primary_cell	adult		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K27me3|Histone ChIP-seq H3K36me3|Histone ChIP-seq H3K4me1|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K9me3|polyA plus RNA-seq	11
CL:0002038	T follicular helper cell	primary_cell	adult		dnase	DNase-seq	1
CL:0002057	CD14-positive, CD16-negative classical monocyte	primary_cell			cage	hCAGE CL:0002057	2
CL:0002061	T-helper 9 cell	primary_cell	adult		dnase	DNase-seq	1
CL:0002092	bone marrow cell	primary_cell			cage	LQhCAGE CL:0002092	2
CL:0002098	regular cardiac myocyte	primary_cell	adult		rna_seq,splice_junctions,splice_site_usage	total RNA-seq	5
CL:0002138	endothelial cell of lymphatic vessel	primary_cell			cage	hCAGE CL:0002138	2
CL:0002140	acinar cell of sebaceous gland	primary_cell			cage	hCAGE CL:0002140	2
CL:0002144	capillary endothelial cell	primary_cell			cage	hCAGE CL:0002144	2
CL:0002166	epithelial cell of Malassez	primary_cell			cage	LQhCAGE CL:0002166|hCAGE CL:0002166	4
CL:0002167	olfactory epithelial cell	primary_cell			cage	LQhCAGE CL:0002167|hCAGE CL:0002167	4
CL:0002188	glomerular endothelial cell	primary_cell	embryonic		cage,rna_seq,splice_junctions,splice_site_usage	hCAGE CL:0002188|total RNA-seq	7
CL:0002193	myelocyte	primary_cell			cage	LQhCAGE CL:0002193	2
CL:0002224	lens epithelial cell	primary_cell			cage	hCAGE CL:0002224	2
CL:0002231	epithelial cell of prostate	primary_cell	unknown		cage,chip_histone,chip_tf,dnase	DNase-seq|Histone ChIP-seq H3K27ac|TF ChIP-seq CTCF|hCAGE CL:0002231	5
CL:0002252	epithelial cell of esophagus	primary_cell	unknown		cage,chip_histone,dnase	DNase-seq|Histone ChIP-seq H3K4me3|hCAGE CL:0002252	4
CL:0002304	non-pigmented ciliary epithelial cell	primary_cell	unknown		cage,dnase	DNase-seq|hCAGE CL:0002304	3
CL:0002306	epithelial cell of proximal tubule	primary_cell	unknown		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	DNase-seq|Histone ChIP-seq H3K4me3|TF ChIP-seq CTCF|hCAGE CL:0002306|total RNA-seq	10
CL:0002319	neural cell	in_vitro_differentiated_cells	embryonic		chip_histone,chip_tf,rna_seq,splice_junctions,splice_site_usage	Histone ChIP-seq H3K27ac|Histone ChIP-seq H3K4me3|Histone ChIP-seq H3K79me2|Histone ChIP-seq H3K9ac|TF ChIP-seq CTCF|TF ChIP-seq POLR2AphosphoS5|TF ChIP-seq RAD21|TF ChIP-seq REST|TF ChIP-seq TAF1|polyA plus RNA-seq	14
